No.;Player;Pos;Ht;Wt;Birth Date;;Exp;College;Player-additional;Season
37;Kostas Antetokounmpo;PF;6-10;200;November 20 1997;gr;1;Dayton;antetko01;19_20
11;Avery Bradley;SG;6-3;180;November 26 1990;us;9;Texas;bradlav01;19_20
12;Devontae Cacok;C;6-7;240;October 8 1996;us;R;UNC Wilmington;cacokde01;19_20
1;Kentavious Caldwell-Pope;SG;6-5;204;February 18 1993;us;6;Georgia;caldwke01;19_20
4;Alex Caruso;PG;6-4;186;February 28 1994;us;2;Texas A&M;carusal01;19_20
28;Quinn Cook;PG;6-1;180;March 23 1993;us;3;Duke;cookqu01;19_20
30;Troy Daniels;SG;6-4;200;July 15 1991;us;6;VCU;danietr01;19_20
3;Anthony Davis;PF;6-10;253;March 11 1993;us;7;Kentucky;davisan02;19_20
10;Jared Dudley;PF;6-6;237;July 10 1985;us;12;Boston College;dudleja01;19_20
14;Danny Green;SG;6-6;215;June 22 1987;us;10;UNC;greenda02;19_20
5;Talen Horton-Tucker;SG;6-4;234;November 25 2000;us;R;Iowa State;hortota01;19_20
39;Dwight Howard;C;6-10;265;December 8 1985;us;15;;howardw01;19_20
23;LeBron James;PG;6-9;250;December 30 1984;us;16;;jamesle01;19_20
0;Kyle Kuzma;PF;6-9;221;July 24 1995;us;2;Utah;kuzmaky01;19_20
7;JaVale McGee;C;7-0;270;January 19 1988;us;11;Nevada;mcgeeja01;19_20
88;Markieff Morris;PF;6-9;245;September 2 1989;us;8;Kansas;morrima02;19_20
21;Zach Norvell;SG;6-5;206;December 9 1997;us;R;Gonzaga;norveza01;19_20
9;Rajon Rondo;PG;6-1;180;February 22 1986;us;13;Kentucky;rondora01;19_20
21;J.R. Smith;SG;6-6;225;September 9 1985;us;15;;smithjr01;19_20
18;Dion Waiters;SG;6-3;215;December 10 1991;us;7;Syracuse;waitedi01;19_20
2;Lonzo Ball;PG;6-6;190;October 27 1997;us;1;UCLA;balllo01;18_19
11;Michael Beasley;PF;6-9;235;January 9 1989;us;10;Kansas State;beaslmi01;18_19
17;Isaac Bonga;PG;6-8;180;November 8 1999;de;R;;bongais01;18_19
35;Reggie Bullock;SG;6-6;205;March 16 1991;us;5;UNC;bullore01;18_19
1;Kentavious Caldwell-Pope;SG;6-5;204;February 18 1993;us;5;Georgia;caldwke01;18_19
4;Alex Caruso;PG;6-4;186;February 28 1994;us;1;Texas A&M;carusal01;18_19
5;Tyson Chandler;C;7-0;235;October 2 1982;us;17;;chandty01;18_19
3;Josh Hart;SG;6-5;215;March 6 1995;us;1;Villanova;hartjo01;18_19
20;Andre Ingram;SG;6-3;190;November 19 1985;us;1;American University;ingraan01;18_19
14;Brandon Ingram;SF;6-8;190;September 2 1997;us;2;Duke;ingrabr01;18_19
23;LeBron James;SF;6-9;250;December 30 1984;us;15;;jamesle01;18_19
10;Jemerrio Jones;SF;6-5;174;April 9 1995;us;R;Hill College New Mexico State;jonesje01;18_19
0;Kyle Kuzma;PF;6-9;221;July 24 1995;us;1;Utah;kuzmaky01;18_19
10;Scott Machado;PG;6-1;205;June 8 1990;us;1;Iona College;machasc01;18_19
7;JaVale McGee;C;7-0;270;January 19 1988;us;10;Nevada;mcgeeja01;18_19
31;Mike Muscala;PF;6-10;240;July 1 1991;us;5;Bucknell;muscami01;18_19
10;Svi Mykhailiuk;SF;6-7;205;June 10 1997;ua;R;Kansas;mykhasv01;18_19
9;Rajon Rondo;PG;6-1;180;February 22 1986;us;12;Kentucky;rondora01;18_19
6;Lance Stephenson;SG;6-6;230;September 5 1990;us;8;Cincinnati;stephla01;18_19
15;Moritz Wagner;C;6-11;245;April 26 1997;de;R;Michigan;wagnemo01;18_19
19;Johnathan Williams;C;6-9;228;May 22 1995;us;R;Missouri Gonzaga;willijo04;18_19
40;Ivica Zubac;C;7-0;240;March 18 1997;ba;2;;zubaciv01;18_19
2;Lonzo Ball;PG;6-6;190;October 27 1997;us;R;UCLA;balllo01;17_18
17;Vander Blue;SG;6-4;200;July 17 1992;us;2;Marquette;blueva01;17_18
66;Andrew Bogut;C;7-0;260;November 28 1984;au;12;Utah;bogutan01;17_18
3;Corey Brewer;SF;6-9;186;March 5 1986;us;10;Florida;breweco01;17_18
31;Thomas Bryant;C;6-10;248;July 31 1997;us;R;Indiana;bryanth01;17_18
1;Kentavious Caldwell-Pope;SG;6-5;204;February 18 1993;us;4;Georgia;caldwke01;17_18
4;Alex Caruso;PG;6-4;186;February 28 1994;us;R;Texas A&M;carusal01;17_18
6;Jordan Clarkson;SG;6-4;194;June 7 1992;us;3;Tulsa Missouri;clarkjo01;17_18
9;Luol Deng;SF;6-9;237;April 16 1985;ss;13;Duke;denglu01;17_18
10;Tyler Ennis;PG;6-3;194;August 24 1994;ca;3;Syracuse;ennisty01;17_18
12;Channing Frye;C;7-0;255;May 17 1983;us;11;Arizona;fryech01;17_18
5;Josh Hart;SG;6-5;215;March 6 1995;us;R;Villanova;hartjo01;17_18
15;Nigel Hayes;SF;6-8;254;December 16 1994;us;R;Wisconsin;hayesni01;17_18
20;Andre Ingram;SG;6-3;190;November 19 1985;us;R;American University;ingraan01;17_18
14;Brandon Ingram;SF;6-8;190;September 2 1997;us;1;Duke;ingrabr01;17_18
0;Kyle Kuzma;PF;6-9;221;July 24 1995;us;R;Utah;kuzmaky01;17_18
11;Brook Lopez;C;7-0;282;April 1 1988;us;9;Stanford;lopezbr01;17_18
7;Larry Nance Jr.;C;6-7;245;January 1 1993;us;2;Wyoming;nancela02;17_18
23;Gary Payton II;PG;6-3;190;December 1 1992;us;1;Oregon State;paytoga02;17_18
30;Julius Randle;C;6-8;250;November 29 1994;us;3;Kentucky;randlju01;17_18
3 7;Isaiah Thomas;PG;5-9;185;February 7 1989;us;6;Washington;thomais02;17_18
21;Travis Wear;SF;6-10;230;September 21 1990;us;1;UNC UCLA;weartr01;17_18
6;Derrick Williams;PF;6-8;240;May 25 1991;us;6;Arizona;willide02;17_18
40;Ivica Zubac;C;7-0;240;March 18 1997;ba;1;;zubaciv01;17_18
28;Tarik Black;C;6-9;250;November 22 1991;us;2;Memphis Kansas;blackta01;16_17
3;Corey Brewer;SF;6-9;186;March 5 1986;us;9;Florida;breweco01;16_17
5;José Calderón;PG;6-3;200;September 28 1981;es;11;;caldejo01;16_17
6;Jordan Clarkson;SG;6-4;194;June 7 1992;us;2;Tulsa Missouri;clarkjo01;16_17
9;Luol Deng;SF;6-9;237;April 16 1985;ss;12;Duke;denglu01;16_17
11;Tyler Ennis;PG;6-3;194;August 24 1994;ca;2;Syracuse;ennisty01;16_17
4;Marcelo Huertas;PG;6-3;200;May 25 1983;br;1;;huertma01;16_17
14;Brandon Ingram;SF;6-8;190;September 2 1997;us;R;Duke;ingrabr01;16_17
20;Timofey Mozgov;C;7-1;275;July 16 1986;ru;6;;mozgoti01;16_17
7;Larry Nance Jr.;PF;6-7;245;January 1 1993;us;1;Wyoming;nancela02;16_17
10;David Nwaba;SG;6-5;219;January 14 1993;us;R;Cal Poly;nwabada01;16_17
30;Julius Randle;PF;6-8;250;November 29 1994;us;2;Kentucky;randlju01;16_17
15;Thomas Robinson;PF;6-10;237;March 17 1991;us;4;Kansas;robinth01;16_17
1;D'Angelo Russell;PG;6-4;193;February 23 1996;us;1;Ohio State;russeda01;16_17
23;Lou Williams;SG;6-1;175;October 27 1986;us;11;;willilo02;16_17
37;Metta World Peace;SF;6-7;260;November 13 1979;us;16;St. John's;artesro01;16_17
0;Nick Young;SG;6-7;210;June 1 1985;us;9;USC;youngni01;16_17
40;Ivica Zubac;C;7-0;240;March 18 1997;ba;R;;zubaciv01;16_17
2;Brandon Bass;PF;6-8;250;April 30 1985;us;10;LSU;bassbr01;15_16
28;Tarik Black;C;6-9;250;November 22 1991;us;1;Memphis Kansas;blackta01;15_16
3;Anthony Brown;SF;6-7;210;October 10 1992;us;R;Stanford;brownan02;15_16
24;Kobe Bryant;SF;6-6;212;August 23 1978;us;19;;bryanko01;15_16
6;Jordan Clarkson;SG;6-4;194;June 7 1992;us;1;Tulsa Missouri;clarkjo01;15_16
17;Roy Hibbert;C;7-2;270;December 11 1986;us;7;Georgetown;hibbero01;15_16
9;Marcelo Huertas;PG;6-3;200;May 25 1983;br;R;;huertma01;15_16
4;Ryan Kelly;PF;6-11;230;April 9 1991;us;2;Duke;kellyry01;15_16
7;Larry Nance Jr.;PF;6-7;245;January 1 1993;us;R;Wyoming;nancela02;15_16
30;Julius Randle;PF;6-8;250;November 29 1994;us;1;Kentucky;randlju01;15_16
1;D'Angelo Russell;PG;6-4;193;February 23 1996;us;R;Ohio State;russeda01;15_16
50;Robert Sacre;C;7-0;270;June 6 1989;us;3;Gonzaga;sacrero01;15_16
23;Lou Williams;SG;6-1;175;October 27 1986;us;10;;willilo02;15_16
37;Metta World Peace;SF;6-7;260;November 13 1979;us;15;St. John's;artesro01;15_16
0;Nick Young;SG;6-7;210;June 1 1985;us;8;USC;youngni01;15_16
28;Tarik Black;C;6-9;250;November 22 1991;us;R;Memphis Kansas;blackta01;14_15
12;Vander Blue;SG;6-4;200;July 17 1992;us;1;Marquette;blueva01;14_15
5;Carlos Boozer;PF;6-9;258;November 20 1981;de;12;Duke;boozeca01;14_15
15;Jabari Brown;SG;6-4;215;December 18 1992;us;R;Oregon Missouri;brownja01;14_15
24;Kobe Bryant;SG;6-6;212;August 23 1978;us;18;;bryanko01;14_15
20;Dwight Buycks;PG;6-3;190;March 6 1989;us;1;Marquette;buyckdw01;14_15
6;Jordan Clarkson;PG;6-4;194;June 7 1992;us;R;Tulsa Missouri;clarkjo01;14_15
21;Ed Davis;PF;6-9;218;June 5 1989;us;4;UNC;davised01;14_15
2;Wayne Ellington;SG;6-4;207;November 29 1987;us;5;UNC;ellinwa01;14_15
7;Xavier Henry;SF;6-6;220;March 15 1991;be;4;Kansas;henryxa01;14_15
27;Jordan Hill;C;6-10;235;July 27 1987;us;5;Arizona;hilljo01;14_15
11;Wesley Johnson;SF;6-7;215;July 11 1987;us;4;Iowa State Syracuse;johnswe01;14_15
4;Ryan Kelly;PF;6-11;230;April 9 1991;us;1;Duke;kellyry01;14_15
17;Jeremy Lin;PG;6-3;200;August 23 1988;us;4;Harvard University;linje01;14_15
9;Ronnie Price;PG;6-2;190;June 21 1983;us;9;Nicholls State Utah Valley;pricero01;14_15
30;Julius Randle;PF;6-8;250;November 29 1994;us;R;Kentucky;randlju01;14_15
50;Robert Sacre;C;7-0;270;June 6 1989;us;2;Gonzaga;sacrero01;14_15
0;Nick Young;SG;6-7;210;June 1 1985;us;7;USC;youngni01;14_15
6;Kent Bazemore;SG;6-4;195;July 1 1989;us;1;Old Dominion;bazemke01;13_14
5;Steve Blake;PG;6-3;172;February 26 1980;us;10;Maryland;blakest01;13_14
2;MarShon Brooks;SG;6-5;200;January 26 1989;us;2;Providence;brookma01;13_14
24;Kobe Bryant;SG;6-6;212;August 23 1978;us;17;;bryanko01;13_14
1;Jordan Farmar;PG;6-2;180;November 30 1986;us;6;UCLA;farmajo01;13_14
16;Pau Gasol;C;7-0;250;July 6 1980;es;12;;gasolpa01;13_14
2;Elias Harris;SF;6-8;239;July 6 1989;de;R;Gonzaga;harriel01;13_14
3;Manny Harris;SG;6-5;185;September 21 1989;us;2;Michigan;harrima01;13_14
7;Xavier Henry;SF;6-6;220;March 15 1991;be;3;Kansas;henryxa01;13_14
27;Jordan Hill;PF;6-10;235;July 27 1987;us;4;Arizona;hilljo01;13_14
11;Wesley Johnson;SF;6-7;215;July 11 1987;us;3;Iowa State Syracuse;johnswe01;13_14
9;Chris Kaman;C;7-0;265;April 28 1982;us;10;Central Michigan University;kamanch01;13_14
4;Ryan Kelly;PF;6-11;230;April 9 1991;us;R;Duke;kellyry01;13_14
12;Kendall Marshall;PG;6-4;200;August 19 1991;us;1;UNC;marshke01;13_14
20;Jodie Meeks;SG;6-4;210;August 21 1987;us;4;Kentucky;meeksjo01;13_14
10;Steve Nash;PG;6-3;195;February 7 1974;za;17;Santa Clara;nashst01;13_14
50;Robert Sacre;C;7-0;270;June 6 1989;us;1;Gonzaga;sacrero01;13_14
3;Shawne Williams;PF;6-9;225;February 16 1986;us;5;Memphis;willish03;13_14
0;Nick Young;SG;6-7;210;June 1 1985;us;6;USC;youngni01;13_14